TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:46 AM
Timebase: 	0.5 sec.
Operator: 	ME            90° Magnet
Operator units: 	A
Monitor1: 	FC7a         ME Moveable
Monitor1 units: 	% f.s.
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	
60.000 	0.20	 
60.050 	0.00	 
60.100 	0.00	 
60.150 	0.00	 
60.200 	0.00	 
60.250 	0.00	 
60.300 	0.00	 
60.350 	0.00	 
60.400 	0.00	 
60.450 	0.00	 
60.500 	0.20	 
60.550 	0.20	 
60.600 	0.20	 
60.650 	0.20	 
60.700 	0.00	 
60.750 	0.00	 
60.801 	0.00	 
60.851 	0.00	 
60.901 	0.00	 
60.951 	0.00	 
61.001 	0.00	 
61.051 	0.00	 
61.101 	0.00	 
61.151 	0.00	 
61.201 	0.00	 
61.251 	0.00	 
61.301 	0.00	 
61.351 	0.00	 
61.401 	0.00	 
61.451 	0.00	 
61.501 	0.00	 
61.551 	0.00	 
61.601 	0.00	 
61.651 	0.00	 
61.701 	0.00	 
61.751 	0.00	 
61.801 	0.00	 
61.851 	0.00	 
61.901 	0.00	 
61.951 	0.00	 
62.001 	0.00	 
62.051 	0.00	 
62.101 	0.00	 
62.151 	0.00	 
62.201 	0.00	 
62.251 	0.00	 
62.301 	0.00	 
62.351 	0.00	 
62.402 	0.00	 
62.452 	0.00	 
62.502 	0.00	 
62.552 	0.00	 
62.602 	0.00	 
62.652 	0.00	 
62.702 	0.00	 
62.752 	0.00	 
62.802 	0.00	 
62.852 	0.00	 
62.902 	0.00	 
62.952 	0.00	 
63.002 	0.00	 
63.052 	0.00	 
63.102 	0.00	 
63.152 	0.00	 
63.202 	0.00	 
63.252 	0.00	 
63.302 	0.00	 
63.352 	0.00	 
63.402 	0.00	 
63.452 	0.00	 
63.502 	0.00	 
63.552 	0.00	 
63.602 	0.00	 
63.652 	0.00	 
63.702 	0.00	 
63.752 	0.00	 
63.802 	0.00	 
63.852 	0.00	 
63.902 	0.00	 
63.952 	0.00	 
64.003 	0.00	 
64.053 	0.00	 
64.103 	0.00	 
64.153 	0.00	 
64.203 	0.00	 
64.253 	0.00	 
64.303 	0.00	 
64.353 	0.00	 
64.403 	0.00	 
64.453 	0.00	 
64.503 	0.00	 
64.553 	0.00	 
64.603 	0.00	 
64.653 	0.00	 
64.703 	0.00	 
64.753 	0.00	 
64.803 	0.00	 
64.853 	0.00	 
64.903 	0.00	 
64.953 	0.00	 
65.003 	0.00	 
65.053 	0.00	 
65.103 	0.00	 
65.153 	0.00	 
65.203 	0.00	 
65.253 	0.00	 
65.303 	0.00	 
65.353 	0.00	 
65.403 	0.00	 
65.453 	0.00	 
65.503 	0.00	 
65.553 	0.00	 
65.604 	0.00	 
65.654 	0.00	 
65.704 	0.00	 
65.754 	0.00	 
65.804 	0.00	 
65.854 	0.00	 
65.904 	0.00	 
65.954 	0.00	 
66.004 	0.00	 
66.054 	0.00	 
66.104 	0.00	 
66.154 	0.00	 
66.204 	0.00	 
66.254 	0.00	 
66.304 	0.00	 
66.354 	0.00	 
66.404 	0.00	 
66.454 	0.00	 
66.504 	0.00	 
66.554 	0.00	 
66.604 	0.00	 
66.654 	0.00	 
66.704 	0.00	 
66.754 	0.00	 
66.804 	0.00	 
66.854 	0.00	 
66.904 	0.00	 
66.954 	0.00	 
67.004 	0.00	 
67.054 	0.12	 
67.104 	0.12	 
67.154 	0.10	 
67.205 	0.00	 
67.255 	0.00	 
67.305 	0.00	 
67.355 	0.00	 
67.405 	0.00	 
67.455 	0.00	 
67.505 	0.00	 
