TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 10:43 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
40.000 	0.000e+000	 FC5 Qsnout	 13060	 
40.100 	0.000e+000	 FC5 Qsnout	 13060	 
40.200 	0.000e+000	 FC5 Qsnout	 13060	 
40.301 	0.000e+000	 FC5 Qsnout	 13060	 
40.401 	0.000e+000	 FC5 Qsnout	 13060	 
40.501 	0.000e+000	 FC5 Qsnout	 13060	 
40.601 	0.000e+000	 FC5 Qsnout	 13060	 
40.702 	0.000e+000	 FC5 Qsnout	 13060	 
40.802 	0.000e+000	 FC5 Qsnout	 13060	 
40.902 	0.000e+000	 FC5 Qsnout	 13060	 
41.002 	0.000e+000	 FC5 Qsnout	 13060	 
41.102 	0.000e+000	 FC5 Qsnout	 13060	 
41.203 	0.000e+000	 FC5 Qsnout	 13060	 
41.303 	0.000e+000	 FC5 Qsnout	 13060	 
41.403 	0.000e+000	 FC5 Qsnout	 13060	 
41.503 	0.000e+000	 FC5 Qsnout	 13060	 
41.604 	0.000e+000	 FC5 Qsnout	 13060	 
41.704 	0.000e+000	 FC5 Qsnout	 13060	 
41.804 	0.000e+000	 FC5 Qsnout	 13060	 
41.904 	0.000e+000	 FC5 Qsnout	 13060	 
42.004 	0.000e+000	 FC5 Qsnout	 13060	 
42.105 	0.000e+000	 FC5 Qsnout	 13060	 
42.205 	0.000e+000	 FC5 Qsnout	 13060	 
42.305 	0.000e+000	 FC5 Qsnout	 13060	 
42.405 	0.000e+000	 FC5 Qsnout	 13060	 
42.506 	0.000e+000	 FC5 Qsnout	 13060	 
42.606 	0.000e+000	 FC5 Qsnout	 13060	 
42.706 	0.000e+000	 FC5 Qsnout	 13060	 
42.806 	0.000e+000	 FC5 Qsnout	 13060	 
42.906 	0.000e+000	 FC5 Qsnout	 13060	 
43.007 	0.000e+000	 FC5 Qsnout	 13060	 
43.107 	0.000e+000	 FC5 Qsnout	 13060	 
43.207 	0.000e+000	 FC5 Qsnout	 13060	 
43.307 	0.000e+000	 FC5 Qsnout	 13060	 
43.408 	0.000e+000	 FC5 Qsnout	 13060	 
43.508 	0.000e+000	 FC5 Qsnout	 13060	 
43.608 	0.000e+000	 FC5 Qsnout	 13060	 
43.708 	0.000e+000	 FC5 Qsnout	 13060	 
43.808 	0.000e+000	 FC5 Qsnout	 13060	 
43.909 	0.000e+000	 FC5 Qsnout	 13060	 
44.009 	0.000e+000	 FC5 Qsnout	 13060	 
44.109 	0.000e+000	 FC5 Qsnout	 13060	 
44.209 	0.000e+000	 FC5 Qsnout	 13060	 
44.310 	0.000e+000	 FC5 Qsnout	 13060	 
44.410 	0.000e+000	 FC5 Qsnout	 13060	 
44.510 	0.000e+000	 FC5 Qsnout	 13060	 
44.610 	0.000e+000	 FC5 Qsnout	 13060	 
44.710 	0.000e+000	 FC5 Qsnout	 13060	 
44.811 	0.000e+000	 FC5 Qsnout	 13060	 
44.911 	0.000e+000	 FC5 Qsnout	 13060	 
