TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:04 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
40.000 	9.768e-012	 FC5 Qsnout	 15876	 
40.100 	1.221e-011	 FC5 Qsnout	 15876	 
40.200 	9.768e-012	 FC5 Qsnout	 15876	 
40.301 	1.221e-011	 FC5 Qsnout	 15876	 
40.401 	9.768e-012	 FC5 Qsnout	 15876	 
40.501 	9.768e-012	 FC5 Qsnout	 15876	 
40.601 	1.221e-011	 FC5 Qsnout	 15876	 
40.702 	1.465e-011	 FC5 Qsnout	 15876	 
40.802 	1.954e-011	 FC5 Qsnout	 15876	 
40.902 	1.954e-011	 FC5 Qsnout	 15876	 
41.002 	2.442e-011	 FC5 Qsnout	 15876	 
41.102 	2.930e-011	 FC5 Qsnout	 15876	 
41.203 	2.930e-011	 FC5 Qsnout	 15876	 
41.303 	3.419e-011	 FC5 Qsnout	 15876	 
41.403 	3.419e-011	 FC5 Qsnout	 15876	 
41.503 	3.419e-011	 FC5 Qsnout	 15876	 
41.604 	3.663e-011	 FC5 Qsnout	 15876	 
41.704 	3.907e-011	 FC5 Qsnout	 15876	 
41.804 	4.396e-011	 FC5 Qsnout	 15876	 
41.904 	4.640e-011	 FC5 Qsnout	 15876	 
42.004 	4.884e-011	 FC5 Qsnout	 15876	 
42.105 	3.907e-011	 FC5 Qsnout	 15876	 
42.205 	9.990e+002	 FC5 Qsnout	 65028	 
42.305 	9.990e+002	 FC5 Qsnout	 64772	 
42.405 	9.990e+002	 FC5 Qsnout	 64516	 
42.506 	-1.216e-007	 FC5 Qsnout	 48132	 
42.606 	-6.935e-009	 FC5 Qsnout	 48388	 
42.706 	-2.295e-010	 FC5 Qsnout	 48644	 
42.806 	1.148e-010	 FC5 Qsnout	 15876	 
42.906 	7.326e-011	 FC5 Qsnout	 15876	 
43.007 	7.814e-011	 FC5 Qsnout	 15876	 
43.107 	8.059e-011	 FC5 Qsnout	 15876	 
43.207 	8.059e-011	 FC5 Qsnout	 15876	 
43.307 	8.059e-011	 FC5 Qsnout	 15876	 
43.408 	8.059e-011	 FC5 Qsnout	 15876	 
43.508 	7.570e-011	 FC5 Qsnout	 15876	 
