TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:13 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
40.000 	1.221e-011	 FC5 Qsnout	 15876	 
40.100 	9.768e-012	 FC5 Qsnout	 15876	 
40.200 	1.221e-011	 FC5 Qsnout	 15876	 
40.301 	9.768e-012	 FC5 Qsnout	 15876	 
40.401 	9.768e-012	 FC5 Qsnout	 15876	 
40.501 	7.326e-012	 FC5 Qsnout	 15876	 
40.601 	9.768e-012	 FC5 Qsnout	 15876	 
40.702 	1.709e-011	 FC5 Qsnout	 15876	 
40.802 	1.709e-011	 FC5 Qsnout	 15876	 
40.902 	2.442e-011	 FC5 Qsnout	 15876	 
41.002 	2.442e-011	 FC5 Qsnout	 15876	 
41.102 	2.442e-011	 FC5 Qsnout	 15876	 
41.203 	3.419e-011	 FC5 Qsnout	 15876	 
41.303 	3.419e-011	 FC5 Qsnout	 15876	 
41.403 	3.419e-011	 FC5 Qsnout	 15876	 
41.503 	3.419e-011	 FC5 Qsnout	 15876	 
41.604 	3.907e-011	 FC5 Qsnout	 15876	 
41.704 	4.151e-011	 FC5 Qsnout	 15876	 
41.804 	4.151e-011	 FC5 Qsnout	 15876	 
41.904 	4.884e-011	 FC5 Qsnout	 15876	 
42.004 	4.884e-011	 FC5 Qsnout	 15876	 
42.105 	3.907e-011	 FC5 Qsnout	 15876	 
42.205 	9.990e+002	 FC5 Qsnout	 64772	 
42.305 	9.990e+002	 FC5 Qsnout	 64516	 
42.405 	-8.418e-006	 FC5 Qsnout	 47876	 
42.506 	-1.377e-007	 FC5 Qsnout	 48132	 
42.606 	-7.204e-009	 FC5 Qsnout	 48388	 
42.706 	-1.167e-009	 FC5 Qsnout	 48644	 
42.806 	-1.131e-009	 FC5 Qsnout	 48644	 
42.906 	7.326e-011	 FC5 Qsnout	 15876	 
43.007 	8.059e-011	 FC5 Qsnout	 15876	 
43.107 	8.059e-011	 FC5 Qsnout	 15876	 
43.207 	8.303e-011	 FC5 Qsnout	 15876	 
43.307 	8.303e-011	 FC5 Qsnout	 15876	 
43.408 	8.303e-011	 FC5 Qsnout	 15876	 
43.508 	7.814e-011	 FC5 Qsnout	 15876	 
43.608 	7.814e-011	 FC5 Qsnout	 15876	 
43.708 	7.326e-011	 FC5 Qsnout	 15876	 
43.808 	6.838e-011	 FC5 Qsnout	 15876	 
43.909 	0.000e+000	 FC5 Qsnout	 48644	 
44.009 	9.990e+002	 FC5 Qsnout	 65028	 
44.109 	-7.150e-008	 FC5 Qsnout	 48388	 
44.209 	-4.415e-008	 FC5 Qsnout	 48388	 
44.310 	-4.322e-009	 FC5 Qsnout	 48388	 
44.410 	3.297e-010	 FC5 Qsnout	 15876	 
44.510 	0.000e+000	 FC5 Qsnout	 15876	 
44.610 	2.442e-012	 FC5 Qsnout	 15876	 
44.710 	0.000e+000	 FC5 Qsnout	 15876	 
44.811 	0.000e+000	 FC5 Qsnout	 15876	 
44.911 	0.000e+000	 FC5 Qsnout	 15876	 
45.011 	0.000e+000	 FC5 Qsnout	 15876	 
45.111 	0.000e+000	 FC5 Qsnout	 15876	 
45.212 	0.000e+000	 FC5 Qsnout	 15876	 
45.312 	0.000e+000	 FC5 Qsnout	 15876	 
45.412 	0.000e+000	 FC5 Qsnout	 15876	 
45.512 	0.000e+000	 FC5 Qsnout	 15876	 
45.612 	0.000e+000	 FC5 Qsnout	 15876	 
45.713 	-4.054e-010	 FC5 Qsnout	 48644	 
45.813 	-8.694e-010	 FC5 Qsnout	 48644	 
45.913 	-6.007e-010	 FC5 Qsnout	 48644	 
46.013 	0.000e+000	 FC5 Qsnout	 15876	 
46.114 	0.000e+000	 FC5 Qsnout	 15876	 
46.214 	0.000e+000	 FC5 Qsnout	 15876	 
46.314 	0.000e+000	 FC5 Qsnout	 15876	 
46.414 	0.000e+000	 FC5 Qsnout	 15876	 
46.514 	0.000e+000	 FC5 Qsnout	 15876	 
46.615 	0.000e+000	 FC5 Qsnout	 15876	 
46.715 	0.000e+000	 FC5 Qsnout	 15876	 
46.815 	0.000e+000	 FC5 Qsnout	 15876	 
46.915 	0.000e+000	 FC5 Qsnout	 15876	 
47.016 	0.000e+000	 FC5 Qsnout	 15876	 
47.116 	0.000e+000	 FC5 Qsnout	 15876	 
47.216 	0.000e+000	 FC5 Qsnout	 15876	 
47.316 	0.000e+000	 FC5 Qsnout	 15876	 
47.416 	0.000e+000	 FC5 Qsnout	 15876	 
47.517 	0.000e+000	 FC5 Qsnout	 15876	 
47.617 	0.000e+000	 FC5 Qsnout	 15876	 
47.717 	0.000e+000	 FC5 Qsnout	 15876	 
47.817 	0.000e+000	 FC5 Qsnout	 15876	 
47.918 	0.000e+000	 FC5 Qsnout	 15876	 
48.018 	0.000e+000	 FC5 Qsnout	 15876	 
48.118 	0.000e+000	 FC5 Qsnout	 15876	 
48.218 	0.000e+000	 FC5 Qsnout	 15876	 
48.318 	0.000e+000	 FC5 Qsnout	 15876	 
48.419 	0.000e+000	 FC5 Qsnout	 15876	 
48.519 	0.000e+000	 FC5 Qsnout	 15876	 
48.619 	0.000e+000	 FC5 Qsnout	 15876	 
