#Coincident events which overlap by the sum of both gatelengths.
Ch0 time/s;(time ch.0 - time ch.1)/ns;energy ch.0;energy ch.1
0.4741052116250001;-210.3125;292;59
0.646989141;231;45;91
0.6789341146562502;-225.0625;220;23
0.9250716400000002;-214.875;314;46
1.1926485660000001;-28.40625;255;21
1.6745011391875;16.8125;332;25
2.4150361680000003;44.78125;300;58
2.63805732009375;-29.46875;32437;1360
2.71623521065625;273.34375;97;8
3.0001576050000005;32.3125;238;30
3.34764967465625;-90.65625;128;68
3.35962884159375;-41.59375;67;40
3.9201600550937497;-175.09375;3;6
4.100219630906251;225.09375;49;160
5.043789448;-132;320;39
5.1033573896875;-129.6875;83;33
5.151923111;-185.6875;319;39
5.478563656000001;-108.53125;1281;44
6.395859056000002;-219;356;20
6.562144864000001;-37.34375;200;20
6.7848603600000015;-48;219;36
7.189451974531251;21.46875;141;51
7.555490564000001;-120;349;4
7.963067376781251;-60;281;42
8.378554652;-186;158;22
8.5673416631875;-0.8125;282;74
8.598696175;-45.40625;298;55
9.112540545749999;12.90625;289;59
9.501946796;24.78125;286;66
9.574622892;68;127;5
10.167082608625;38.4375;9699;859
10.55561547678125;-199.46875;250;58
10.666665274;46;83;25
12.047481113593749;-81.59375;375;31
12.08379995678125;-102.125;361;31
12.316975636906252;-96.90625;109;126
14.3104111404375;-932.4375;263;37
14.79327126740625;-94.09375;348;5
15.080264032;-205;332;25
16.293610217875006;-172.5625;184;122
16.722006276250003;151.75;162;76
16.855078096000003;80;160;33
17.2413024173125;-203.3125;170;29
17.329103270375;-40.375;250;51
17.6682955576875;-204.5625;333;34
17.907432232;35.1875;299;45
18.191708986000005;14;51;134
19.038379762;19.3125;206;48
19.311701825875005;-97.875;127;129
19.364743936000004;40;112;5
19.542888656875004;-7.40625;26729;1378
19.684469814656254;12;96;35
19.797542954656254;-140.28125;216;60
20.073741200000004;42.65625;175;23
20.514330991093754;216.90625;38;38
20.904695001312504;-185.3125;311;53
21.112845578375005;-175.71875;139;89
21.224911656000003;-108.8125;337;31
22.776125986843752;-217.5;12314;90
23.438999028781254;-64.78125;74;35
23.516961617312504;-77.3125;4;4
23.661804002281254;-58.28125;118;26
23.76096227465625;-184;308;40
23.876720507406255;12.59375;202;32
24.09879456;-99.21875;343;21
24.385549096000002;-115.21875;298;42
24.459156131406253;-131.40625;232;35
24.465506502843752;121.15625;133;47
24.9322676218125;-124.5;278;70
25.27416768478125;-227.46875;271;1
25.639175332000004;80;139;53
25.884495660781255;-124.78125;170;30
27.361669214218757;113.78125;97;50
27.439494508000003;-68;132;46
27.602288439000002;-47;149;45
27.663518291187504;-174.625;336;33
27.876735958000005;-177.4375;336;7
28.885314744000006;8;5;5
29.973143454000006;2;124;4
30.625105202000007;86;81;47
30.843915345000006;-138.625;310;44
30.907856298281253;120.375;260;4
31.112060576781253;83.21875;221;73
31.172121912000005;-112;163;4
31.538076125687507;2.3125;97;56
31.812884848000007;-86;296;21
32.062963249125005;-137.125;210;41
32.193374426656256;-134.65625;86;57
32.733855953593746;-41.59375;231;34
32.76077881015625;157.84375;142;85
33.263100122656255;-70.65625;116;27
33.4239787885625;58.09375;308;27
33.973947986000006;-250;193;24
34.413598912000005;-130;188;79
35.15054576;74.65625;147;27
35.262403076781254;-88.78125;124;40
35.414204118375004;-170.375;317;46
35.694167644562505;-190.875;329;31
36.191571852656246;-63.875;334;3
36.402357572;-160;192;2
36.53776406878125;-48;302;6
36.884690793125;80.875;252;44
37.04585874665625;-106.65625;164;50
37.196428217750004;-154.90625;354;46
37.3532631816875;-132.09375;268;6
37.54880961671875;17.28125;238;64
38.23098729484375;-114.9375;24567;1828
38.65452093243751;-73.25;250;45
38.733327634656256;34.65625;158;30
38.86859990665625;-230.09375;334;26
39.55203975540625;-89.8125;146;45
39.636567157593745;-161.59375;113;98
40.32472938;-142.6875;129;20
41.0624962191875;220.8125;40;121
